OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Remote Service Centre,Meekatharra,,69 Main Street,Meekatharra,WA,6642,-26.59176,118.49656,,,,,
Service Centre - Centrelink/Medicare,Melton,,Woodgrove Shopping Centre Barries Road,Melton,VIC,3337,-37.68724,144.56585,,,,,
Service Centre - Centrelink/Medicare,Merrylands,,207-209 Pitt Street,Merrylands,NSW,2160,-33.8355,150.9913,,,,,
Service Centre - Centrelink/Medicare,Midland,,15 Keane Street,Midland,WA,6056,-31.8884,116.00507,,,,,
Service Centre - Centrelink/Medicare,Mildura,,112-124 Deakin Avenue,Mildura,VIC,3500,-34.18742,142.16028,,,,,
Service Centre - Centrelink,Mirrabooka,,24 Chesterfield Road,Mirrabooka,WA,6061,-31.8682,115.8585,,,,,
Service Centre - Centrelink/Medicare,Mitchelton,,55 Osborne Road,Mitchelton,QLD,4053,-27.41219,152.97728,,,,,
Service Centre - Centrelink/Medicare,Modbury,,96 Reservoir Road,Modbury,SA,5092,-34.83428,138.68773,,,,,
Service Centre - Centrelink/Medicare,Moree,,11 Auburn Street,Moree,NSW,2400,-29.4609,149.83977,,,,,
Service Centre - Centrelink/Medicare,Morley,,38 Rudloc Road,Morley,WA,6062,-31.90007,115.89983,,,,,
Service Centre - Centrelink/Medicare,Mornington,,332 Main Street,Mornington,VIC,3931,-38.2261,145.04346,,,,,
Service Centre - Centrelink/Medicare,Morwell,,Corner Chapel and Elgin Street,Morwell,VIC,3840,-38.23986,146.39936,,,,,
Service Centre - Centrelink,Mossman,,23 Front Street,Mossman,QLD,4873,-16.46058,145.37318,,,,,
Service Centre - Centrelink,Mt Barker,,30 Stephen Street,Mt Barker,SA,5251,-35.06668,138.85888,,,,,
Service Centre - Centrelink/Medicare,Mt Druitt,,3 Mount Street,Mt Druitt,NSW,2770,-33.76883,150.82322,,,,,
Service Centre - Centrelink/Medicare,Mt Gambier,,5 Percy Street,Mt Gambier,SA,5290,-37.8284,140.78276,,,,,
Service Centre - Centrelink/Medicare,Mt Isa,,30-32 West Street,Mt Isa,QLD,4825,-20.72491,139.49098,,,,,
Service Centre - Centrelink/Medicare,Mudgee,,Lot 72 Byron Place,Mudgee,NSW,2850,-32.59183,149.5868,,,,,
Service Centre - Centrelink,Murray Bridge,,8-12 Bridge Street,Murray Bridge,SA,5253,-35.11813,139.27723,,,,,
Service Centre - Centrelink,Murwillumbah,,107-113 Wollumbin Street,Murwillumbah,NSW,2484,-28.32707,153.39428,,,,,
Service Centre - Centrelink/Medicare,Muswellbrook,,164-166 Bridge Street,Muswellbrook,NSW,2333,-32.26028,150.88902,,,,,
Service Centre - Centrelink/Medicare,Nambour,,Corner Currie and Maud Street,Nambour,QLD,4560,-26.628406,152.959571,,,,,
Service Centre - Centrelink/Medicare,Nambucca Heads,,13 Bowra Street,Nambucca Heads,NSW,2448,-30.64258,153.00279,,,,,
Service Centre - Centrelink/Medicare,Narooma,,"Shop 34 & 35, Narooma Plaza, 185 Princes Highway",Narooma,NSW,2546,-36.22382,150.12716,,,,,
Service Centre - Centrelink/Medicare,Narrabri,,9 Doyle Street,Narrabri,NSW,2390,-30.32415,149.7836,,,,,
Service Centre - Centrelink/Medicare,Fountain Gate,,71-73 Webb Street,Narre Warren,VIC,3805,-38.02255,145.30631,,,,,
Service Centre - Centrelink,Nelson Bay,,18-20 Yacaaba Street,Nelson Bay,NSW,2315,-32.72315,152.14451,,,,,
Service Centre - Centrelink/Medicare,Nerang,,37-39 Cotton Street,Nerang,QLD,4211,-27.99081,153.33414,,,,,
Service Centre - Centrelink/Medicare,Newcastle,,275-279 King Street,Newcastle West,NSW,2300,-32.92869,151.76895,,,,,
Remote Service Centre,Newman,,"Unit 18, 26 Rogers Place",Newman,WA,6753,-23.35541,119.73164,,,,,
